 22  9  2 20 12 14 11  1
 12  5 21  4 17  3 18 17
 10 12 13 21 21 13 24 24
  1 24 16  9 11  8 10 22
 17  2 10  8 16 24 15  6
 16 19 19 22 13  2  2 13
 15 20  3  3 23 16 13 20
 14  4 15 23  6  7 20  4
 24  6 17 11 22 18  5 10
 13 11 14  6  5 23  1 18
  6 17 12  5 20  5  4  3
  5  1 20 14  1 15 12 14
 23 18 11  7  2 10 23 15
  4 15  9 24 18 22  9 16
  8  3  4 16 15 11  3 19
  3 10 23 17 24  9 14  8
  2  8  5  2 10 19 21 12
 11 22  7 19  3 17  6  7
 20 23  6 15 19  6 19 11
  9 21 18 12 14 21 22  2
 21 16 22 18  9 20 17 21
 19  7  8 13  7  4  7 23
 18 14 24  1  8 12  8  5
  7 13  1 10  4  1 16  9
