 14 17 11 18 11  2  5  3
  5  5 10  5 12 18 16 19
  9 14 18 19 20 13 11 18
 12  7 20 11  7 19  2  6
 10 18  5  8  3  9  1 17
 18 19 19  6 14  7 15  8
  8  3 17  2  2  4  9 10
  6  9  1 20  6  8 14  7
 19  8 12 15  5  6  7 20
  1  1  9 17 13 11  3 12
 13 15  6  1  8 12 20 13
 17 13  8 16  1 17 17  9
 11  4 13 14 18 10 19  1
 16 10 15  3 16 16  4 14
  4 12  7  4 19  5  6  5
 15  6  2 10 17  3 13 16
  3 11 16 12  9  1 18 15
  7 20  3 13 15 20  8 11
  2 16 14  9  4 15 12  2
 20  2  4  7 10 14 10  4
